epoch,loss,step,training_run
0,529.9912109375,0,0
0,230.30039978027344,1,1
0,114.51531982421875,2,2
0,112.58097839355469,3,3
0,214.3020477294922,4,4
0,129.60740661621094,5,5
0,74.55858612060547,6,6
0,43.13010787963867,7,7
0,27.19680404663086,8,8
0,28.271408081054688,9,9
0,15.878396034240723,10,10
0,13.109515190124512,11,11
0,8.533661842346191,12,12
0,6.875498294830322,13,13
0,4.581095218658447,14,14
0,5.22567892074585,15,15
0,5.198841571807861,16,16
0,4.092192649841309,17,17
0,4.688017845153809,18,18
0,3.555292844772339,19,19
0,4.81364631652832,20,20
0,4.637887477874756,21,21
0,4.588070392608643,22,22
0,3.9127357006073,23,23
0,5.628265857696533,24,24
0,3.6361210346221924,25,25
0,5.2489190101623535,26,26
0,3.8389933109283447,27,27
0,4.993921279907227,28,28
0,4.18665075302124,29,29
0,5.085398197174072,30,30
0,3.9136276245117188,31,31
0,4.846765518188477,32,32
0,3.90374755859375,33,33
0,4.466056823730469,34,34
0,3.800872802734375,35,35
0,4.753974437713623,36,36
0,3.9101526737213135,37,37
0,5.079701900482178,38,38
0,4.338354110717773,39,39
0,5.119098663330078,40,40
0,4.172275543212891,41,41
0,5.203479766845703,42,42
0,4.246097564697266,43,43
0,5.142962455749512,44,44
0,3.9991142749786377,45,45
0,4.908859729766846,46,46
0,3.866955518722534,47,47
0,5.272157669067383,48,48
0,4.1526408195495605,49,49
0,5.458930969238281,50,50
0,4.18690824508667,51,51
0,5.528100967407227,52,52
0,3.9466495513916016,53,53
0,5.504899501800537,54,54
0,3.9819180965423584,55,55
0,5.255650043487549,56,56
0,4.062841892242432,57,57
0,5.104010581970215,58,58
0,4.112408638000488,59,59
0,4.922995567321777,60,60
0,4.007960796356201,61,61
0,4.868384838104248,62,62
0,3.972707509994507,63,63
0,4.8118181228637695,64,64
0,3.8628175258636475,65,65
0,4.940450191497803,66,66
0,3.7508232593536377,67,67
0,5.414782524108887,68,68
0,3.63677978515625,69,69
0,5.5335822105407715,70,70
0,3.5430338382720947,71,71
0,5.362015247344971,72,72
0,3.4968438148498535,73,73
0,5.312312126159668,74,74
0,3.42464280128479,75,75
0,5.254814147949219,76,76
0,3.3924975395202637,77,77
0,5.425082206726074,78,78
0,3.3341476917266846,79,79
0,5.307727336883545,80,80
0,3.2739436626434326,81,81
0,5.336465358734131,82,82
0,3.182727575302124,83,83
0,5.344574928283691,84,84
0,3.1766464710235596,85,85
0,5.546748638153076,86,86
0,3.086284875869751,87,87
0,5.421125888824463,88,88
0,3.069344997406006,89,89
0,5.584408283233643,90,90
0,3.0320544242858887,91,91
0,5.467040538787842,92,92
0,2.9632065296173096,93,93
0,5.445693492889404,94,94
0,3.2368242740631104,95,95
0,5.521919250488281,96,96
0,3.1532671451568604,97,97
0,5.586044788360596,98,98
0,3.1817212104797363,99,99
0,5.619097709655762,100,100
0,4.551126003265381,101,100
0,7.30223274230957,102,101
0,1.5143834352493286,103,101
0,4.534719467163086,104,102
0,0.8177981376647949,105,102
0,8.275938987731934,106,103
0,3.8398594856262207,107,103
0,6.434875011444092,108,104
0,2.6299757957458496,109,104
0,4.628456115722656,110,105
0,3.030344247817993,111,105
0,4.88803243637085,112,106
0,7.724921226501465,113,106
0,2.109924554824829,114,107
0,6.458345890045166,115,107
0,2.5718140602111816,116,108
0,6.053295135498047,117,108
0,3.436225652694702,118,109
0,2.3220322132110596,119,109
0,4.709605693817139,120,110
0,1.2814611196517944,121,110
0,6.046149730682373,122,111
0,2.173311471939087,123,111
0,7.193912506103516,124,112
0,2.4794375896453857,125,112
0,4.136114597320557,126,113
0,2.726069211959839,127,113
0,4.291436672210693,128,114
0,2.4955761432647705,129,114
0,3.431110143661499,130,115
0,2.176908493041992,131,115
0,4.156543731689453,132,116
0,3.039851427078247,133,116
0,3.7143774032592773,134,117
0,3.3576321601867676,135,117
0,2.9427764415740967,136,118
0,3.558973550796509,137,118
0,3.9448254108428955,138,119
0,2.1934456825256348,139,119
0,5.806126117706299,140,120
0,3.4753429889678955,141,120
0,3.5068371295928955,142,121
0,3.878404378890991,143,121
0,2.0197787284851074,144,122
0,4.530892848968506,145,122
0,2.476130723953247,146,123
0,4.492814540863037,147,123
0,2.5084075927734375,148,124
0,5.3230085372924805,149,124
0,1.7400730848312378,150,125
0,5.133094787597656,151,125
0,1.686090350151062,152,126
0,5.424172401428223,153,126
0,2.9515292644500732,154,127
0,5.737917900085449,155,127
0,1.9753868579864502,156,128
0,3.813840389251709,157,128
0,2.6731677055358887,158,129
0,5.239564895629883,159,129
0,2.6186885833740234,160,130
0,4.405203819274902,161,130
0,3.0279934406280518,162,131
0,3.9874987602233887,163,131
0,2.397975206375122,164,132
0,3.5114195346832275,165,132
0,2.622265100479126,166,133
0,3.9606831073760986,167,133
0,2.279982805252075,168,134
0,4.898948669433594,169,134
0,1.7293829917907715,170,135
0,4.637093544006348,171,135
0,2.0036280155181885,172,136
0,4.968462944030762,173,136
0,1.6046111583709717,174,137
0,4.996131420135498,175,137
0,1.3569854497909546,176,138
0,5.835230350494385,177,138
0,1.1981384754180908,178,139
0,5.5108232498168945,179,139
0,1.3050862550735474,180,140
0,5.4781174659729,181,140
0,1.2289875745773315,182,141
0,5.440543174743652,183,141
0,1.344590663909912,184,142
0,6.061612129211426,185,142
0,1.1882625818252563,186,143
0,5.657164096832275,187,143
0,0.9604353308677673,188,144
0,5.160162925720215,189,144
0,1.3725277185440063,190,145
0,5.511396408081055,191,145
0,1.2130006551742554,192,146
0,4.634641647338867,193,146
0,1.7093102931976318,194,147
0,4.454627513885498,195,147
0,1.9118095636367798,196,148
0,4.89866828918457,197,148
0,1.7312736511230469,198,149
0,3.7442760467529297,199,149
0,1.620296597480774,200,150
0,4.57805871963501,201,150
0,2.0051610469818115,202,151
0,5.168646812438965,203,151
0,1.912371039390564,204,152
0,5.117448329925537,205,152
0,1.1765234470367432,206,153
0,5.768255233764648,207,153
0,1.5635660886764526,208,154
0,5.461555004119873,209,154
0,1.2917885780334473,210,155
0,4.562338352203369,211,155
0,0.9687737226486206,212,156
0,5.502453804016113,213,156
0,0.8882148265838623,214,157
0,4.823016166687012,215,157
0,0.9705069661140442,216,158
0,5.770899772644043,217,158
0,1.2444270849227905,218,159
0,4.952809810638428,219,159
0,1.1412063837051392,220,160
0,4.993220329284668,221,160
0,1.0761407613754272,222,161
0,5.280155658721924,223,161
0,0.8992398977279663,224,162
0,5.954908847808838,225,162
0,0.9407646059989929,226,163
0,5.118813991546631,227,163
0,1.05727219581604,228,164
0,4.7718963623046875,229,164
0,1.3213937282562256,230,165
0,4.3432769775390625,231,165
0,0.8983638286590576,232,166
0,5.777012825012207,233,166
0,0.8094081282615662,234,167
0,5.604168891906738,235,167
0,1.0702977180480957,236,168
0,5.158718585968018,237,168
0,0.9078312516212463,238,169
0,5.195536136627197,239,169
0,0.9052292108535767,240,170
0,5.405815601348877,241,170
0,0.9245899319648743,242,171
0,5.373887062072754,243,171
0,1.474638819694519,244,172
0,5.337765693664551,245,172
0,1.5239530801773071,246,173
0,4.235633373260498,247,173
0,1.4816453456878662,248,174
0,4.592165946960449,249,174
0,1.3159810304641724,250,175
0,4.112176895141602,251,175
0,1.071121096611023,252,176
0,4.440201759338379,253,176
0,0.9259420037269592,254,177
0,5.272974967956543,255,177
0,0.9177761673927307,256,178
0,5.162708282470703,257,178
0,0.9154590368270874,258,179
0,4.855490207672119,259,179
0,1.1657841205596924,260,180
0,4.721333026885986,261,180
0,1.402872920036316,262,181
0,4.33050537109375,263,181
0,1.0754649639129639,264,182
0,4.704793453216553,265,182
0,0.9701730608940125,266,183
0,5.006965637207031,267,183
0,0.94923996925354,268,184
0,5.1957502365112305,269,184
0,1.1245243549346924,270,185
0,4.79340934753418,271,185
0,1.2025790214538574,272,186
0,4.931784629821777,273,186
0,1.0238434076309204,274,187
0,4.658212661743164,275,187
0,1.061408519744873,276,188
0,5.128986358642578,277,188
0,0.9841265082359314,278,189
0,4.937520980834961,279,189
0,0.9088826775550842,280,190
0,4.68475341796875,281,190
0,0.9311983585357666,282,191
0,4.247951984405518,283,191
0,1.004501461982727,284,192
0,4.734584808349609,285,192
0,0.972187340259552,286,193
0,3.9915037155151367,287,193
0,1.1185944080352783,288,194
0,4.4054341316223145,289,194
0,1.0259605646133423,290,195
0,4.996743679046631,291,195
0,0.9791461825370789,292,196
0,5.1307244300842285,293,196
0,0.7344467639923096,294,197
0,4.64268159866333,295,197
0,0.897108793258667,296,198
0,5.091936111450195,297,198
0,0.767426609992981,298,199
0,4.764298915863037,299,199
0,0.9505059719085693,300,200
0,4.438170909881592,301,200
0,0.6539989113807678,302,200
0,0.8669440746307373,303,201
0,1.959682822227478,304,201
0,0.7273544073104858,305,201
0,4.125979423522949,306,202
0,2.4358444213867188,307,202
0,3.8632681369781494,308,202
0,1.1178841590881348,309,203
0,4.254930019378662,310,203
0,0.40399110317230225,311,203
0,0.6010463237762451,312,204
0,4.502110481262207,313,204
0,3.4017417430877686,314,204
0,0.985659658908844,315,205
0,5.346982002258301,316,205
0,0.804554283618927,317,205
0,1.254570722579956,318,206
0,2.3446717262268066,319,206
0,1.521383285522461,320,206
0,2.0740489959716797,321,207
0,3.6622002124786377,322,207
0,0.9417505264282227,323,207
0,1.4812637567520142,324,208
0,2.206620454788208,325,208
0,1.5410561561584473,326,208
0,3.425187349319458,327,209
0,3.2581286430358887,328,209
0,2.831421136856079,329,209
0,0.42545974254608154,330,210
0,3.5060923099517822,331,210
0,0.5089305639266968,332,210
0,0.9177121520042419,333,211
0,2.7431817054748535,334,211
0,0.3934776484966278,335,211
0,0.7476180195808411,336,212
0,3.0571939945220947,337,212
0,0.9268162250518799,338,212
0,0.7238094806671143,339,213
0,3.038656711578369,340,213
0,1.6121944189071655,341,213
0,0.5641404986381531,342,214
0,3.058518648147583,343,214
0,1.0487021207809448,344,214
0,0.5643096566200256,345,215
0,3.2305548191070557,346,215
0,0.520469069480896,347,215
0,0.8962497115135193,348,216
0,2.0102453231811523,349,216
0,0.6877111792564392,350,216
0,0.37178269028663635,351,217
0,4.726605415344238,352,217
0,1.0641164779663086,353,217
0,1.6512908935546875,354,218
0,2.8574883937835693,355,218
0,1.1762713193893433,356,218
0,0.35984742641448975,357,219
0,3.2993500232696533,358,219
0,1.1853053569793701,359,219
0,1.2457308769226074,360,220
0,2.4078714847564697,361,220
0,1.6886616945266724,362,220
0,0.6828046441078186,363,221
0,2.463571548461914,364,221
0,0.7366382479667664,365,221
0,0.4649023711681366,366,222
0,4.068782806396484,367,222
0,1.3289332389831543,368,222
0,1.711064100265503,369,223
0,3.7094194889068604,370,223
0,1.470188021659851,371,223
0,0.327168345451355,372,224
0,6.9786763191223145,373,224
0,0.44014087319374084,374,224
0,1.4889817237854004,375,225
0,2.999786376953125,376,225
0,1.2361401319503784,377,225
0,0.5411760807037354,378,226
0,3.481387138366699,379,226
0,0.86146080493927,380,226
0,1.1336674690246582,381,227
0,4.5531206130981445,382,227
0,0.8075674772262573,383,227
0,0.7378561496734619,384,228
0,4.946893215179443,385,228
0,1.0425869226455688,386,228
0,1.3405156135559082,387,229
0,3.9361629486083984,388,229
0,1.0664392709732056,389,229
0,0.635296106338501,390,230
0,3.574075937271118,391,230
0,0.6956318020820618,392,230
0,1.5086749792099,393,231
0,2.574130058288574,394,231
0,1.4355182647705078,395,231
0,1.1286929845809937,396,232
0,2.192275047302246,397,232
0,1.0696529150009155,398,232
0,1.1191214323043823,399,233
0,1.9932347536087036,400,233
0,1.4140660762786865,401,233
0,0.5708745718002319,402,234
0,2.3459744453430176,403,234
0,0.71878582239151,404,234
0,0.9552406072616577,405,235
0,4.638700008392334,406,235
0,0.6280228495597839,407,235
0,0.7230728268623352,408,236
0,4.583967208862305,409,236
0,0.9290810823440552,410,236
0,0.873033344745636,411,237
0,4.020094394683838,412,237
0,0.746769905090332,413,237
0,0.7213191986083984,414,238
0,4.475114345550537,415,238
0,0.5891936421394348,416,238
0,0.6539273858070374,417,239
0,4.364694118499756,418,239
0,0.7107054591178894,419,239
0,0.9859473705291748,420,240
0,4.19459867477417,421,240
0,0.7577861547470093,422,240
0,0.5208603143692017,423,241
0,4.575006484985352,424,241
0,0.7140870690345764,425,241
0,1.3393521308898926,426,242
0,2.976707696914673,427,242
0,1.505303144454956,428,242
0,0.6134940981864929,429,243
0,2.6625232696533203,430,243
0,1.2628659009933472,431,243
0,1.5150243043899536,432,244
0,3.3628957271575928,433,244
0,0.9463117718696594,434,244
0,0.5851923823356628,435,245
0,3.593935489654541,436,245
0,1.0119404792785645,437,245
0,0.5716981291770935,438,246
0,5.198507785797119,439,246
0,0.4913676679134369,440,246
0,0.891539454460144,441,247
0,4.018059253692627,442,247
0,0.6865226626396179,443,247
0,0.7973534464836121,444,248
0,4.499514579772949,445,248
0,0.7736556529998779,446,248
0,0.9483597278594971,447,249
0,3.5905227661132812,448,249
0,1.3852261304855347,449,249
0,0.5356155633926392,450,250
0,5.223341464996338,451,250
0,1.0994691848754883,452,250
0,1.2001498937606812,453,251
0,3.2270429134368896,454,251
0,1.2940621376037598,455,251
0,0.40874427556991577,456,252
0,3.826899528503418,457,252
0,0.8192412257194519,458,252
0,0.7462541460990906,459,253
0,3.3645267486572266,460,253
0,0.7592562437057495,461,253
0,0.8388968706130981,462,254
0,3.838275671005249,463,254
0,0.8869901895523071,464,254
0,0.9146859049797058,465,255
0,3.9428772926330566,466,255
0,1.063696265220642,467,255
0,0.6872811317443848,468,256
0,4.337109565734863,469,256
0,0.960331380367279,470,256
0,0.838421642780304,471,257
0,3.7319092750549316,472,257
0,0.7887212038040161,473,257
0,0.9728372097015381,474,258
0,4.176992416381836,475,258
0,0.7739594578742981,476,258
0,0.728726863861084,477,259
0,2.4222705364227295,478,259
0,1.728079080581665,479,259
0,0.6782168745994568,480,260
0,4.349786758422852,481,260
0,1.1173861026763916,482,260
0,0.6683659553527832,483,261
0,3.047506809234619,484,261
0,0.534976601600647,485,261
0,1.2724785804748535,486,262
0,3.004923105239868,487,262
0,1.2254765033721924,488,262
0,0.4709433317184448,489,263
0,5.168776988983154,490,263
0,0.601108193397522,491,263
0,1.4181584119796753,492,264
0,2.7054519653320312,493,264
0,1.3310126066207886,494,264
0,0.37741848826408386,495,265
0,3.4632434844970703,496,265
0,1.3016682863235474,497,265
0,1.141896367073059,498,266
0,3.0053489208221436,499,266
0,1.1400573253631592,500,266
0,0.376231849193573,501,267
0,2.774458646774292,502,267
0,2.1196346282958984,503,267
0,0.533101499080658,504,268
0,4.99794340133667,505,268
0,0.6378053426742554,506,268
0,0.9925115704536438,507,269
0,3.280221462249756,508,269
0,0.7872868180274963,509,269
0,0.43852370977401733,510,270
0,4.334179878234863,511,270
0,0.6379208564758301,512,270
0,0.9684961438179016,513,271
0,3.4178214073181152,514,271
0,0.9712878465652466,515,271
0,0.5158505439758301,516,272
0,4.224714279174805,517,272
0,0.5083411931991577,518,272
0,1.3463598489761353,519,273
0,3.292085647583008,520,273
0,1.327836275100708,521,273
